Rank,Title,Link,Author,Aborn,Adeath,Translator,Tborn,Tdeath,Subject,Language
65,Dubliners,https://www.gutenberg.org//ebooks/2814,"Joyce, James",1882,1941,,,,"['Short stories', 'Dublin (Ireland) -- Fiction']",English
122,A Portrait of the Artist as a Young Man,https://www.gutenberg.org//ebooks/4217,"Joyce, James",1882,1941,,,,"['Autobiographical fiction', 'Bildungsromans', 'Young men -- Fiction', 'Dublin (Ireland) -- Fiction', 'Artists -- Fiction']",English
229,Mrs. Dalloway,https://www.gutenberg.org//ebooks/71865,"Woolf, Virginia",1882,1941,,,,"['London (England) -- Fiction', 'Psychological fiction', 'Domestic fiction', 'Married women -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Suicide victims -- Fiction', 'Middle-aged women -- Fiction']",English
979,Monday or Tuesday,https://www.gutenberg.org//ebooks/29220,"Woolf, Virginia",1882,1941,,,,['England -- Social life and customs -- 20th century -- Fiction'],English
13,The Blue Castle: a novel,https://www.gutenberg.org//ebooks/67979,"Montgomery, L. M. (Lucy Maud)",1874,1942,,,,"['Self-actualization (Psychology) -- Fiction', 'Single women -- Fiction', 'Choice -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Romance fiction', 'Love -- Fiction', 'Young adult fiction']",English
64,Anne of Green Gables,https://www.gutenberg.org//ebooks/45,"Montgomery, L. M. (Lucy Maud)",1874,1942,,,,"['Orphans -- Fiction', 'Islands -- Fiction', 'Friendship -- Fiction', 'Bildungsromans', 'Girls -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Canada -- History -- 1867-1914 -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction']",English
373,Anne of the Island,https://www.gutenberg.org//ebooks/51,"Montgomery, L. M. (Lucy Maud)",1874,1942,,,,"['Orphans -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Interpersonal relations -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Self-perception -- Fiction', 'Universities and colleges -- Fiction', 'Nova Scotia -- History -- 20th century -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction']",English
454,Anne of Avonlea,https://www.gutenberg.org//ebooks/47,"Montgomery, L. M. (Lucy Maud)",1874,1942,,,,"['Orphans -- Fiction', 'Islands -- Fiction', 'Teachers -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Canada -- History -- 1914-1945 -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction']",English
749,Anne's House of Dreams,https://www.gutenberg.org//ebooks/544,"Montgomery, L. M. (Lucy Maud)",1874,1942,,,,"['Orphans -- Fiction', 'Young women -- Fiction', 'Friendship -- Fiction', 'Marriage -- Fiction', 'Country life -- Prince Edward Island -- Fiction', 'Prince Edward Island -- History -- 20th century -- Fiction', 'Canada -- History -- 1867-1914 -- Fiction', 'Shirley, Anne (Fictitious character) -- Fiction']",English
880,Rilla of Ingleside,https://www.gutenberg.org//ebooks/3796,"Montgomery, L. M. (Lucy Maud)",1874,1942,,,,"['World War, 1914-1918 -- Prince Edward Island -- Juvenile fiction', 'Country life -- Canada -- Juvenile fiction', 'Prince Edward Island -- Juvenile fiction']",English
655,"Argonauts of the Western Pacific",https://www.gutenberg.org//ebooks/55822,"Malinowski, Bronislaw",1884,1942,,,,"['Kula exchange -- Papua New Guinea -- Trobriand Islands', 'Massim (Papua New Guinean people) -- Rites and ceremonies', 'Ethnology -- Papua New Guinea -- Trobriand Islands', 'Folklore -- Papua New Guinea -- Trobriand Islands', 'Barter -- Papua New Guinea -- Trobriand Islands', 'Trobriand Islands (Papua New Guinea) -- Social life and customs']",English
523,Chess Fundamentals,https://www.gutenberg.org//ebooks/33870,"Capablanca, José Raúl",1888,1942,,,,['Chess'],English
280,The Monkey's Paw,https://www.gutenberg.org//ebooks/12122,"Jacobs, W. W. (William Wymark)",1863,1943,,,,"['Horror tales', 'Wishes -- Fiction']",English
278,The Tale of Peter Rabbit,https://www.gutenberg.org//ebooks/14838,"Potter, Beatrix",1866,1943,,,,['Rabbits -- Juvenile fiction'],English
664,The Tale of Squirrel Nutkin,https://www.gutenberg.org//ebooks/14872,"Potter, Beatrix",1866,1943,,,,['Squirrels -- Juvenile fiction'],English
945,The Tale of Tom Kitten,https://www.gutenberg.org//ebooks/14837,"Potter, Beatrix",1866,1943,,,,"['Cats -- Juvenile fiction', 'Kittens -- Juvenile fiction']",English
637,Tension,https://www.gutenberg.org//ebooks/74638,"Delafield, E. M.",1890,1943,,,,['England -- Social life and customs -- 20th century -- Fiction'],English
748,The Velveteen Rabbit,https://www.gutenberg.org//ebooks/11757,"Bianco, Margery Williams",1881,1944,,,,"['Toys -- Juvenile fiction', 'Rabbits -- Juvenile fiction']",English
962,灵历集光 (Chinese),https://www.gutenberg.org//ebooks/25716,"Song, Shangjie",1901,1944,,,,"['Song, Shangjie, 1901-1944 -- Diaries', 'Evangelists -- China -- Biography', 'China -- Church history -- 20th century']",Chinese
596,"History of the World War, Volume 1 (of 7) :  An authentic narrative of the world's greatest war",https://www.gutenberg.org//ebooks/74726,"Beamish, Richard J. (Richard Joseph)",1867,1945,,,,"['World War, 1914-1918']",English
995,"History of the World War, Volume 4 (of 7) :  An authentic narrative of the world's greatest war",https://www.gutenberg.org//ebooks/74728,"Beamish, Richard J. (Richard Joseph)",1867,1945,,,,"['World War, 1914-1918']",English
89,Josefine Mutzenbacher (German),https://www.gutenberg.org//ebooks/31284,"Salten, Felix",1869,1945,,,,"['Erotic stories', 'Austrian fiction']",German
292,Charmes (French),https://www.gutenberg.org//ebooks/71062,"Valéry, Paul",1871,1945,,,,['French poetry -- 20th century'],French
687,Sister Carrie: A Novel,https://www.gutenberg.org//ebooks/233,"Dreiser, Theodore",1871,1945,,,,"['New York (N.Y.) -- Fiction', 'Didactic fiction', 'Young women -- Fiction', 'Chicago (Ill.) -- Fiction', 'Mistresses -- Fiction']",English
935,The Financier: A Novel,https://www.gutenberg.org//ebooks/1840,"Dreiser, Theodore",1871,1945,,,,"['Psychological fiction', 'Capitalists and financiers -- Fiction']",English
